date,ECT@KAU.Q,KPPRVRSD_R@KAU.Q,PMKRSGF@KAU.Q,PMKRCON@KAU.Q,KRSGF@KAU.Q,KRCON@KAU.Q,PICTSGF@HON.Q
2011-07-01,1.3687500000000004,5.211988941301822,454125.9382344361,235446.8861991644,88.90121166955835,70.0535553566584,227.12492549999996
2011-10-01,1.3562500000000002,6.211088883769387,459476.99094248,249298.0614734172,89.6469298047213,70.33405177667235,227.12492549999996
2012-01-01,1.287201284594314,6.22411046640658,461482.101593412,281990.4642379418,102.39284207359806,75.5800567511961,232.37037771198243
2012-04-01,1.2946160385378298,8.23766968518961,453810.3122011979,284833.4290508856,98.99027664731092,78.43031982419943,229.8058398
2012-07-01,1.3138943987909706,12.724096692689926,454492.6535212901,294808.6326028403,105.20794432674383,77.7238368729928,233.37086095124997
2012-10-01,1.3405875129876268,7.251817260320766,467714.9326841002,309867.4741083322,116.40893695234718,86.26578655161171,233.18007601382993
2013-01-01,1.324729161070821,6.329368223519601,501873.2219566181,297259.87776273664,105.16064326140116,79.19425755853138,239.8
2013-04-01,1.3463515086399858,8.270146533831465,513367.1852423674,293081.0663572257,116.38557335872383,88.53764506802779,240.9
2013-07-01,1.34779299847793,9.906115606655648,530451.40549944,315388.88334999,115.49147051223773,92.0589216287426,245.80952783995156
2013-10-01,1.3492344883158742,10.417347130097907,533258.1873015746,300770.1725300477,109.96231286763728,89.2091757446982,249.22286524358142
2014-01-01,1.2006775783174939,6.114896471697428,535398.3919424657,325903.64997105015,111.76485361965182,83.39573583063672,253.7084
2014-04-01,1.207057374164027,10.797362284820032,539520.4517856276,354469.6120486919,121.21684799850608,81.86131364360651,255.6
2014-07-01,1.2313005983808518,10.043878014705067,531630.024994222,340957.7497114057,120.03288563294663,81.72027723128602,263.999432900108
2014-10-01,1.1981256599788808,12.165584609637655,563951.1312776846,355668.9882688523,113.98541274889541,80.02267329447076,267.7
2015-01-01,1.1763459068447357,6.881151137197358,,,,,272.6
